State,Category,Metric,Demo_Group,Demo_Specific,Estimate_type,April_2021,May_2021,June_2021,July_2021,August_2021,September_2021,October_2021
TX,Vaccines,people_initiated,age,60_69,total_cumulative,1493904.5,1802612,893464,2001450,2124949,2168972,2228964
TX,Vaccines,people_initiated,age,70_79,rate_percent,15.97990527,13.10356941,16.01609493,11.37819644,10.41799474,10.07984567,9.94430088
TX,Vaccines,people_initiated,age,70_79,total_cumulative,1356077,1517995,1564300,1621118,1681488,1715434,1745422
TX,Vaccines,people_initiated,age,80_older,rate_percent,6.532125878,5.252190756,6.384281846,4.529324308,4.105691946,3.962327955,3.904977574
TX,Vaccines,people_initiated,age,80_older,total_cumulative,553268,608395,623556,645280,662668,674327,685401
TX,Vaccines,people_initiated,age,unknown,rate_percent,0.044999609,0.036297484,0.040155421,0.030620293,0.031213935,0.032511764,0.034007553
TX,Vaccines,people_initiated,age,unknown,total_cumulative,3864,4187.5,3922,4365.5,5038,5533,5969
TX,Vaccines,people_initiated,gender,female,rate_percent,55.7,54.15,53.7,53.25,52.8,52.6,52.5
TX,Vaccines,people_initiated,gender,female,total_cumulative,4806471.5,6280184,6856434,7598037.5,8522876,8986354,9222338
TX,Vaccines,people_initiated,gender,male,rate_percent,43.15,45,45.5,46,46.6,46.9,47
TX,Vaccines,people_initiated,gender,male,total_cumulative,3752692,5220049,5814883,6561440.5,7523216,8002941,8252122
TX,Vaccines,people_initiated,gender,unknown,rate_percent,1.1,0.8,0.7,0.65,0.6,0.5,0.4
TX,Vaccines,people_initiated,gender,unknown,total_cumulative,89374,94763.5,95622,95899.5,94134,89159,77522
TX,Vaccines,people_initiated,race_ethnicity,all_races-hispanic_latino,rate_percent,25.44,29.655,30.66,31.795,32.71,33.09,33.4
TX,Vaccines,people_initiated,race_ethnicity,all_races-hispanic_latino,total_cumulative,2227438.5,3440753,3914754,4533092,5278843,5650745,5863193
TX,Vaccines,people_initiated,race_ethnicity,asian-non_hispanic_latino,rate_percent,6.535,6.645,6.63,6.425,5.96,5.68,5.45
TX,Vaccines,people_initiated,race_ethnicity,asian-non_hispanic_latino,total_cumulative,569733,770614,846116,915625.5,961547,970731,957334
TX,Vaccines,people_initiated,race_ethnicity,black_african_american-non_hispanic_latino,rate_percent,6.925,7.36,7.52,7.655,7.89,7.95,7.92
TX,Vaccines,people_initiated,race_ethnicity,black_african_american-non_hispanic_latino,total_cumulative,601743.5,853506.5,959746,1091667,1273728,1357430,1389301
TX,Vaccines,people_initiated,race_ethnicity,other-non_hispanic_latino,rate_percent,8.1,8.73,9.17,10.165,11.34,12.49,14.25
TX,Vaccines,people_initiated,race_ethnicity,other-non_hispanic_latino,total_cumulative,702204,1012427,1170976,1450359.5,1829585,2133279,2500693
TX,Vaccines,people_initiated,race_ethnicity,unknown-unknown,rate_percent,12.935,9.415,8.66,7.955,7.28,6.67,5.98
TX,Vaccines,people_initiated,race_ethnicity,unknown-unknown,total_cumulative,1093539.5,1090205.5,1105785,1133864.5,1175177,1138369,1049280
TX,Vaccines,people_initiated,race_ethnicity,white-non_hispanic_latino,rate_percent,40.07,38.195,37.36,36.005,34.83,34.12,33
TX,Vaccines,people_initiated,race_ethnicity,white-non_hispanic_latino,total_cumulative,3453879,4427490.5,4769562,5130769,5621346,5827900,5792181
